driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
Corsair Force MP510 1920GB,SSD,1700,23580,271,249.99,94.32,0.15,2019,56
CSSD-M2B5GPG3VNF,SSD,465.8,23547,272,,,,2019,23
WD Black NVMe 1TB,SSD,931.5,23499,273,162.98,144.18,0.17,2018,109
Sabrent Rocket Q,SSD,3600,23465,274,,,,2020,10
Dell Express Flash PM1725a 3.2TB AIC,SSD,2900,23460,275,,,,2018,1
Micron MTFDHBA512TDV,SSD,476.9,23430,276,,,,2020,137
XPG GAMMIX S41,SSD,953.9,23415,277,,,,2020,22
E12S-512G-PHISON-SSD-BICS4,SSD,476.9,23393,278,,,,2021,7
KINGSTON SKC2500M82000G,SSD,1800,23387,279,,,,2021,23
Samsung SSD PM981a NVMe 2TB,SSD,1900,23378,280,,,,2019,111
Corsair MP400,SSD,1800,23339,281,362.89,64.31,0.2,2020,51
Sabrent,SSD,3700,23337,282,999.99,23.34,0.27,2020,17
KXG60PNV2T04 NVMe KIOXIA 2048GB,SSD,1900,23335,283,,,,2020,67
Samsung PM981a 1TB NVMe SED,SSD,953.9,23317,284,,,,2020,6
SPCC M.2 PCIe SSD,SSD,1900,23291,285,,,,2019,50
Sabrent Rocket 4.0 500GB,SSD,465.8,23227,286,,,,2019,362
NVMe Micron 2300 NVMe 512GB,SSD,476.9,23205,287,,,,2021,82
Phison 512GB SM280512GKBB4S-E162,SSD,476.9,23155,288,,,,2020,21
WDC PC SN720 SED SDAQNTW,SSD,953.9,23114,289,,,,2019,22
XPG GAMMIX S50 Lite,SSD,1900,23112,290,,,,2020,25
NVMe WD BLACK SN750 SE 500GB,SSD,465.8,23079,291,,,,2021,7
NVMe SPCC M.2 PCIe SS,SSD,953.9,23071,292,,,,2019,9
PNY CS3030 1TB SSD,SSD,931.5,23021,293,129.99,177.1,0.14,2019,289
Corsair MP400,SSD,3600,22990,294,,,,2021,7
NVMe Micron 2300 NVMe 1024GB,SSD,953.9,22986,295,,,,2021,112
T-FORCE TM8FP5001T,SSD,953.9,22981,296,,,,2020,28
E15-1TB-PHISON-SSD-B47R,SSD,953.9,22933,297,,,,2022,6
WDC PC SN730 SDBPNTY,SSD,476.9,22883,298,,,,2021,10
Micron 2300 NVMe 512GB,SSD,476.9,22877,299,,,,2020,135
PC601 SED NVMe SK hynix 512GB,SSD,476.9,22854,300,,,,2021,8
Viper M.2 VPN100 2TB,SSD,1900,22782,301,189.99,119.91,0.1,2019,23
GIGABYTE GP-ASACNE2100TTTDR,SSD,953.9,22774,302,,,,2019,19
Seagate FireCuda 510 SSD ZP2000GM30001,SSD,1800,22737,303,,,,2019,47
